N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"77,300",700,+0.91%,100,"4,614,642","5,969,783",51.80,"12,814,359",16.28,9.99,
2,SK하이닉스,"106,000","1,000",-0.93%,"5,000","771,682","728,002",46.46,"1,840,754",13.26,9.53,
3,NAVER,"454,000","1,500",+0.33%,100,"745,756","164,263",57.23,"367,510",4.52,15.22,
4,카카오,"155,500","1,000",-0.64%,100,"691,520","444,707",32.23,"1,875,195",144.92,2.70,
5,삼성바이오로직스,"954,000","3,000",+0.32%,"2,500","631,214","66,165",10.55,"38,311",188.54,N/A,
6,삼성전자우,"72,000",900,+1.27%,100,"592,478","822,887",75.23,"1,056,585",15.16,N/A,
7,LG화학,"750,000","25,000",+3.45%,"5,000","529,443","70,592",46.25,"544,375",20.20,2.93,
8,삼성SDI,"767,000","7,000",+0.92%,"5,000","527,424","68,765",44.71,"134,162",56.83,4.54,
9,현대차,"215,000",500,+0.23%,"5,000","459,387","213,668",28.59,"386,999",15.58,2.04,
10,셀트리온,"278,500","4,500",-1.59%,"1,000","384,148","137,935",20.85,"410,766",65.30,16.68,
11,카카오뱅크,"77,400","3,400",-4.21%,"5,000","367,728","475,100",6.87,"4,947,038",250.49,5.08,
12,기아,"86,200",300,+0.35%,"5,000","349,423","405,363",33.99,"973,065",10.06,5.05,
13,POSCO,"349,000","1,000",+0.29%,"5,000","304,282","87,187",54.42,"266,925",7.89,3.61,
14,현대모비스,"280,000","2,000",+0.72%,"5,000","265,421","94,793",35.52,"169,789",12.01,4.66,
15,삼성물산,"132,000",0,0.00%,100,"246,691","186,887",15.14,"156,077",15.05,3.81,
16,LG전자,"148,000","5,500",-3.58%,"5,000","242,199","163,648",31.26,"1,602,346",17.91,13.23,
17,크래프톤,"482,500","26,500",-5.21%,100,"236,191","48,951",6.29,"394,859",41.54,61.86,
18,SK바이오사이언스,"308,000","27,000",-8.06%,500,"235,620","76,500",5.10,"1,555,486",150.02,13.25,
19,SK이노베이션,"250,000",0,0.00%,"5,000","231,164","92,466",22.80,"210,735",-51.79,-13.58,
20,LG생활건강,"1,433,000","11,000",-0.76%,"5,000","223,809","15,618",45.38,"27,422",30.09,17.92,
21,SK텔레콤,"306,000",500,+0.16%,500,"220,504","72,060",44.96,"265,021",11.62,6.44,
22,KB금융,"51,800","1,100",-2.08%,"5,000","215,388","415,808",67.58,"1,524,135",5.11,8.53,
23,신한지주,"38,500",200,-0.52%,"5,000","198,891","516,600",60.32,"944,585",4.98,8.20,
